Wall time,Step,Value
1664193756.0627832,0,4.317594528198242
1664193960.162143,1,4.247418403625488
1664194165.7304692,2,4.199934482574463
1664194371.7089908,3,4.166166305541992
1664194577.0134618,4,4.120887279510498
1664194782.3335977,5,4.079905033111572
1664194987.4973917,6,4.001486778259277
1664195192.761261,7,3.9291577339172363
1664195398.146333,8,3.868297576904297
1664195603.488738,9,3.795297861099243
1664195809.0479383,10,3.7474803924560547
1664196014.5674338,11,3.6912877559661865
1664196220.0843925,12,3.6420257091522217
1664196425.4686801,13,3.601107120513916
1664196631.0713854,14,3.510112762451172
1664196836.540035,15,3.4670891761779785
1664197042.3627539,16,3.435136079788208
1664197247.6888967,17,3.405662775039673
1664197453.1102405,18,3.3735711574554443
1664197658.4510627,19,3.3296689987182617
1664197863.5032487,20,3.335895299911499
1664198068.2649527,21,3.264801502227783
1664198272.9720905,22,3.274050712585449
1664198477.1025054,23,3.213409185409546
1664198682.0757759,24,3.198146104812622
1664198886.9800947,25,3.1443846225738525
1664199091.707887,26,3.108872652053833
1664199296.8206515,27,3.102264404296875
1664199502.1207075,28,3.0845999717712402
1664199707.4681435,29,3.0400354862213135
1664199912.385677,30,3.044342279434204
1664200117.4123502,31,2.9741132259368896
1664200322.5953956,32,2.941682815551758
1664200527.7526777,33,2.9984138011932373
1664200733.0940876,34,2.9043967723846436
1664200938.4001715,35,2.8596649169921875
1664201143.1173677,36,2.8486099243164062
1664201348.351873,37,2.8549036979675293
1664201553.5346913,38,2.849222183227539
1664201758.925586,39,2.8029935359954834
1664201964.5460103,40,2.802584648132324
1664202169.8027914,41,2.7748513221740723
1664202375.1599505,42,2.757070302963257
1664202580.3352053,43,2.7443158626556396
1664202785.574378,44,2.719482421875
1664202990.6742346,45,2.724252223968506
1664203195.7749043,46,2.694822311401367
1664203401.303371,47,2.697739362716675
1664203606.3424146,48,2.6298933029174805
1664203810.703392,49,2.656470537185669
1664204015.75618,50,2.6133954524993896
1664204220.3783147,51,2.610644817352295
1664204425.383989,52,2.607557773590088
1664204630.1604695,53,2.6002984046936035
1664204835.2742665,54,2.5460174083709717
1664205040.13496,55,2.52129864692688
1664205244.9609158,56,2.589153528213501
1664205449.8775365,57,2.501312017440796
1664205654.4409947,58,2.4861810207366943
1664205859.3630295,59,2.495030641555786
1664206064.133117,60,2.4725892543792725
1664206269.2912652,61,2.4673726558685303
1664206474.0536976,62,2.447460889816284
1664206679.487819,63,2.4537811279296875
1664206884.6730442,64,2.428372859954834
1664207089.860708,65,2.414371967315674
1664207294.9436736,66,2.388615846633911
1664207500.106809,67,2.4012458324432373
1664207705.2409902,68,2.366919994354248
1664207910.5821595,69,2.428328514099121
1664208115.6373296,70,2.381220817565918
1664208321.279261,71,2.420456886291504
1664208526.4872859,72,2.344383955001831
1664208731.5773408,73,2.3176116943359375
1664208936.8754165,74,2.3444573879241943
1664209142.223601,75,2.3212380409240723
1664209347.924337,76,2.303438901901245
1664209553.071652,77,2.293417453765869
1664209758.173157,78,2.2897160053253174
1664209963.302675,79,2.303335428237915
1664210168.32885,80,2.317662000656128
1664210373.5215743,81,2.305175304412842
1664210578.8848407,82,2.2473068237304688
1664210784.4056675,83,2.300778865814209
1664210989.3760717,84,2.247304916381836
1664211194.5448782,85,2.2876932621002197
1664211399.4322772,86,2.2114009857177734
1664211604.4589632,87,2.2524235248565674
1664211809.3903646,88,2.2422828674316406
1664212014.309488,89,2.2472281455993652
1664212219.2039626,90,2.2295005321502686
1664212424.4563563,91,2.2389445304870605
1664212629.7563272,92,2.2686874866485596
1664212834.875505,93,2.2442522048950195
1664213040.2611766,94,2.23156476020813
1664213245.298767,95,2.2331349849700928
1664213450.0558393,96,2.2166574001312256
1664213654.8923705,97,2.2683959007263184
1664213860.0761986,98,2.264070510864258
1664214065.3868148,99,2.308567523956299
1664214270.6942203,100,2.2605106830596924
1664214475.9684453,101,2.235769748687744
1664214681.2471166,102,2.2552177906036377
1664214886.70335,103,2.283738851547241
1664215092.2058501,104,2.2803492546081543
1664215297.664704,105,2.302717685699463
1664215503.1146445,106,2.2948811054229736
1664215708.424022,107,2.285221576690674
1664215913.7855136,108,2.360184907913208
1664216119.2727869,109,2.3648300170898438
